Term,Session,Subject,Catalog,Section,Descr,Name,Tot Enrl,Grade,Count ID,Actual Count
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,A,27,9
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,B,45,15
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,C,36,12
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,D,12,4
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,F,15,5
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,W,6,2
2017 Fall,1,ACCT,2010,001,ACCOUNT PRIN I,"Adhikari,Subash",48,WF,3,1
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,A,18,6
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,B,60,20
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,C,117,39
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,D,42,14
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,F,33,11
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,W,27,9
2017 Fall,1,ACCT,2010,002,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",102,WF,9,3
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,A,36,12
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,B,72,24
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,C,105,35
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,D,54,18
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,F,15,5
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,W,15,5
2017 Fall,1,ACCT,2010,003,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",103,WF,12,4
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,A,60,20
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,B,54,18
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,C,78,26
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,D,18,6
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,F,39,13
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,I,3,1
2017 Fall,1,ACCT,2010,005,ACCOUNT PRIN I,"Lineros,Jose",96,W,36,12
2017 Fall,1,ACCT,2010,006,ACCOUNT PRIN I,"McLeod,Allison Mayling",103,A,21,7
2017 Fall,1,ACCT,2010,006,ACCOUNT PRIN I,"McLeod,Allison Mayling",103,B,75,25
2017 Fall,1,ACCT,2010,006,ACCOUNT PRIN I,"McLeod,Allison Mayling",103,C,93,31
2017 Fall,1,ACCT,2010,006,ACCOUNT PRIN I,"McLeod,Allison Mayling",103,D,24,8
2017 Fall,1,ACCT,2010,006,ACCOUNT PRIN I,"McLeod,Allison Mayling",103,F,66,22
2017 Fall,1,ACCT,2010,006,ACCOUNT PRIN I,"McLeod,Allison Mayling",103,W,30,10
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,A,36,12
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,B,51,17
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,C,63,21
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,D,33,11
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,F,24,8
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,W,24,8
2017 Fall,1,ACCT,2010,007,ACCOUNT PRIN I,"Rumbough Jr.,Roy Albert",78,WF,3,1
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,A,39,13
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,B,99,33
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,C,66,22
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,D,42,14
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,F,33,11
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,W,18,6
2017 Fall,1,ACCT,2010,008,ACCOUNT PRIN I,"McLeod,Allison Mayling",100,WF,3,1
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,A,18,6
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,B,15,5
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,C,21,7
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,D,3,1
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,F,15,5
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,W,3,1
2017 Fall,1,ACCT,2010,009,ACCOUNT PRIN I,"Wu,Da",26,WF,3,1
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,A,21,7
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,B,51,17
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,C,87,29
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,D,39,13
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,F,24,8
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,W,6,2
2017 Fall,1,ACCT,2010,010,ACCOUNT PRIN I,"Bandla,Madhuri",80,WF,12,4
2017 Fall,1,ACCT,2010,501,ACCOUNT PRIN I,"Baker,Jay Keith",12,A,6,2
2017 Fall,1,ACCT,2010,501,ACCOUNT PRIN I,"Baker,Jay Keith",12,B,6,2
2017 Fall,1,ACCT,2010,501,ACCOUNT PRIN I,"Baker,Jay Keith",12,C,6,2
2017 Fall,1,ACCT,2010,501,ACCOUNT PRIN I,"Baker,Jay Keith",12,F,9,3
2017 Fall,1,ACCT,2010,501,ACCOUNT PRIN I,"Baker,Jay Keith",12,W,9,3
2017 Fall,1,ACCT,2020,001,ACCOUNT PRIN II,"Carroll,Richard Thomas",21,A,9,3
2017 Fall,1,ACCT,2020,001,ACCOUNT PRIN II,"Carroll,Richard Thomas",21,B,18,6
2017 Fall,1,ACCT,2020,001,ACCOUNT PRIN II,"Carroll,Richard Thomas",21,C,21,7
2017 Fall,1,ACCT,2020,001,ACCOUNT PRIN II,"Carroll,Richard Thomas",21,D,3,1
2017 Fall,1,ACCT,2020,001,ACCOUNT PRIN II,"Carroll,Richard Thomas",21,F,6,2
2017 Fall,1,ACCT,2020,001,ACCOUNT PRIN II,"Carroll,Richard Thomas",21,W,6,2
2017 Fall,1,ACCT,2020,002,ACCOUNT PRIN II,"Carroll,Richard Thomas",78,A,9,3
2017 Fall,1,ACCT,2020,002,ACCOUNT PRIN II,"Carroll,Richard Thomas",78,B,69,23
2017 Fall,1,ACCT,2020,002,ACCOUNT PRIN II,"Carroll,Richard Thomas",78,C,63,21
2017 Fall,1,ACCT,2020,002,ACCOUNT PRIN II,"Carroll,Richard Thomas",78,D,30,10
2017 Fall,1,ACCT,2020,002,ACCOUNT PRIN II,"Carroll,Richard Thomas",78,F,39,13
2017 Fall,1,ACCT,2020,002,ACCOUNT PRIN II,"Carroll,Richard Thomas",78,W,24,8
2017 Fall,1,ACCT,2020,003,ACCOUNT PRIN II,"Carroll,Richard Thomas",48,A,9,3
2017 Fall,1,ACCT,2020,003,ACCOUNT PRIN II,"Carroll,Richard Thomas",48,B,30,10
2017 Fall,1,ACCT,2020,003,ACCOUNT PRIN II,"Carroll,Richard Thomas",48,C,48,16
2017 Fall,1,ACCT,2020,003,ACCOUNT PRIN II,"Carroll,Richard Thomas",48,D,15,5
2017 Fall,1,ACCT,2020,003,ACCOUNT PRIN II,"Carroll,Richard Thomas",48,F,30,10
2017 Fall,1,ACCT,2020,003,ACCOUNT PRIN II,"Carroll,Richard Thomas",48,W,12,4
2017 Fall,1,ACCT,2020,004,ACCOUNT PRIN II,"Carroll,Richard Thomas",80,A,27,9
2017 Fall,1,ACCT,2020,004,ACCOUNT PRIN II,"Carroll,Richard Thomas",80,B,69,23
2017 Fall,1,ACCT,2020,004,ACCOUNT PRIN II,"Carroll,Richard Thomas",80,C,81,27
2017 Fall,1,ACCT,2020,004,ACCOUNT PRIN II,"Carroll,Richard Thomas",80,D,33,11
2017 Fall,1,ACCT,2020,004,ACCOUNT PRIN II,"Carroll,Richard Thomas",80,F,9,3
2017 Fall,1,ACCT,2020,004,ACCOUNT PRIN II,"Carroll,Richard Thomas",80,W,21,7
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,A,21,7
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,B,57,19
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,C,84,28
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,D,24,8
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,F,33,11
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,I,3,1
2017 Fall,1,ACCT,2020,005,ACCOUNT PRIN II,"Runyan,Bruce W",78,W,12,4
2017 Fall,1,ACCT,2020,006,ACCOUNT PRIN II,"Runyan,Bruce W",80,A,60,20
2017 Fall,1,ACCT,2020,006,ACCOUNT PRIN II,"Runyan,Bruce W",80,B,78,26
2017 Fall,1,ACCT,2020,006,ACCOUNT PRIN II,"Runyan,Bruce W",80,C,69,23
2017 Fall,1,ACCT,2020,006,ACCOUNT PRIN II,"Runyan,Bruce W",80,D,9,3
2017 Fall,1,ACCT,2020,006,ACCOUNT PRIN II,"Runyan,Bruce W",80,F,15,5
2017 Fall,1,ACCT,2020,006,ACCOUNT PRIN II,"Runyan,Bruce W",80,W,9,3
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,A,15,5
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,B,42,14
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,C,33,11
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,D,15,5
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,F,3,1
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,W,12,4
2017 Fall,1,ACCT,3110,001,INTER ACCT I,"Bandla,Madhuri",41,WF,3,1
2017 Fall,1,ACCT,3110,002,INTER ACCT I,"Abernathy,John Lewis",47,A,18,6
2017 Fall,1,ACCT,3110,002,INTER ACCT I,"Abernathy,John Lewis",47,B,45,15
2017 Fall,1,ACCT,3110,002,INTER ACCT I,"Abernathy,John Lewis",47,C,57,19
2017 Fall,1,ACCT,3110,002,INTER ACCT I,"Abernathy,John Lewis",47,D,3,1
2017 Fall,1,ACCT,3110,002,INTER ACCT I,"Abernathy,John Lewis",47,F,18,6
2017 Fall,1,ACCT,3110,003,INTER ACCT I,"Bandla,Madhuri",41,A,15,5
2017 Fall,1,ACCT,3110,003,INTER ACCT I,"Bandla,Madhuri",41,B,24,8
2017 Fall,1,ACCT,3110,003,INTER ACCT I,"Bandla,Madhuri",41,C,48,16
2017 Fall,1,ACCT,3110,003,INTER ACCT I,"Bandla,Madhuri",41,D,21,7
2017 Fall,1,ACCT,3110,003,INTER ACCT I,"Bandla,Madhuri",41,F,15,5
2017 Fall,1,ACCT,3110,004,INTER ACCT I,"Bandla,Madhuri",43,A,18,6
2017 Fall,1,ACCT,3110,004,INTER ACCT I,"Bandla,Madhuri",43,B,30,10
2017 Fall,1,ACCT,3110,004,INTER ACCT I,"Bandla,Madhuri",43,C,39,13
2017 Fall,1,ACCT,3110,004,INTER ACCT I,"Bandla,Madhuri",43,D,21,7
2017 Fall,1,ACCT,3110,004,INTER ACCT I,"Bandla,Madhuri",43,F,15,5
2017 Fall,1,ACCT,3110,004,INTER ACCT I,"Bandla,Madhuri",43,W,6,2
2017 Fall,1,ACCT,3110,005,INTER ACCT I,"Runyan,Bruce W",33,A,3,1
2017 Fall,1,ACCT,3110,005,INTER ACCT I,"Runyan,Bruce W",33,B,18,6
2017 Fall,1,ACCT,3110,005,INTER ACCT I,"Runyan,Bruce W",33,C,39,13
2017 Fall,1,ACCT,3110,005,INTER ACCT I,"Runyan,Bruce W",33,D,15,5
2017 Fall,1,ACCT,3110,005,INTER ACCT I,"Runyan,Bruce W",33,F,15,5
2017 Fall,1,ACCT,3110,005,INTER ACCT I,"Runyan,Bruce W",33,W,9,3
2017 Fall,1,ACCT,3110,006,INTER ACCT I,"Runyan,Bruce W",36,A,6,2
2017 Fall,1,ACCT,3110,006,INTER ACCT I,"Runyan,Bruce W",36,B,39,13
2017 Fall,1,ACCT,3110,006,INTER ACCT I,"Runyan,Bruce W",36,C,42,14
2017 Fall,1,ACCT,3110,006,INTER ACCT I,"Runyan,Bruce W",36,D,15,5
2017 Fall,1,ACCT,3110,006,INTER ACCT I,"Runyan,Bruce W",36,F,3,1
2017 Fall,1,ACCT,3110,006,INTER ACCT I,"Runyan,Bruce W",36,W,3,1
2017 Fall,1,ACCT,3120,001,INTER ACCT II,"Frost,Carol",35,A,18,6
2017 Fall,1,ACCT,3120,001,INTER ACCT II,"Frost,Carol",35,B,42,14
