Name,Term,Session,Subject,Catalog,Section,Descr,Tot Enrl,Grade,Count
"Li,Zhi",1188,1,MUCM,3621,500,GUITAR ENSEMBLE,9,A,9
"Shi,Yu",1188,1,PADM,5020,1,MANAGE PUBLIC ORGS,32,A,26
"Shi,Yu",1188,1,PADM,5020,1,MANAGE PUBLIC ORGS,32,B,4
"Shi,Yu",1188,1,PADM,5020,1,MANAGE PUBLIC ORGS,32,F,1
"Shi,Yu",1188,1,PADM,5020,1,MANAGE PUBLIC ORGS,32,W,1
"Shi,Yu",1188,1,PADM,5700,2,SEM PUB ADM,5,A,4
"Shi,Yu",1188,1,PADM,5700,2,SEM PUB ADM,5,B,1
"Ta,Anh",1188,1,DSCI,3710,5,BUSINESS STATISTICS,103,A,42
"Ta,Anh",1188,1,DSCI,3710,5,BUSINESS STATISTICS,103,B,28
"Ta,Anh",1188,1,DSCI,3710,5,BUSINESS STATISTICS,103,C,27
"Ta,Anh",1188,1,DSCI,3710,5,BUSINESS STATISTICS,103,D,2
"Ta,Anh",1188,1,DSCI,3710,5,BUSINESS STATISTICS,103,F,2
"Ta,Anh",1188,1,DSCI,3710,5,BUSINESS STATISTICS,103,W,2
"Vu,Nga",1188,1,ADES,1560,501,FASH INTR IND SEW,13,A,3
"Vu,Nga",1188,1,ADES,1560,501,FASH INTR IND SEW,13,C,5
"Vu,Nga",1188,1,ADES,1560,501,FASH INTR IND SEW,13,D,1
"Vu,Nga",1188,1,ADES,1560,501,FASH INTR IND SEW,13,F,2
"Vu,Nga",1188,1,ADES,1560,501,FASH INTR IND SEW,13,W,2
"Vu,Nga",1188,1,ADES,1560,502,FASH INTR IND SEW,18,A,7
"Vu,Nga",1188,1,ADES,1560,502,FASH INTR IND SEW,18,B,8
"Vu,Nga",1188,1,ADES,1560,502,FASH INTR IND SEW,18,C,2
"Vu,Nga",1188,1,ADES,1560,502,FASH INTR IND SEW,18,D,1
"Fu,Song",1188,1,CSCE,6950,808,DISSERTATION,6,PR,6
"Hao,Han",1188,1,MATH,3680,1,APPLIED STATISTICS,42,A,13
"Hao,Han",1188,1,MATH,3680,1,APPLIED STATISTICS,42,B,7
"Hao,Han",1188,1,MATH,3680,1,APPLIED STATISTICS,42,C,13
"Hao,Han",1188,1,MATH,3680,1,APPLIED STATISTICS,42,D,2
"Hao,Han",1188,1,MATH,3680,1,APPLIED STATISTICS,42,F,5
"Hao,Han",1188,1,MATH,3680,1,APPLIED STATISTICS,42,W,2
"Hao,Han",1188,1,MATH,5810,1,PROBABLTY & STAT,8,A,1
"Hao,Han",1188,1,MATH,5810,1,PROBABLTY & STAT,8,B,6
"Hao,Han",1188,1,MATH,5810,1,PROBABLTY & STAT,8,C,1
"Jin,Wei",1188,1,CSCE,5200,1,INFORMATION RETRIEVAL,19,A,14
"Jin,Wei",1188,1,CSCE,5200,1,INFORMATION RETRIEVAL,19,B,4
"Jin,Wei",1188,1,CSCE,5200,1,INFORMATION RETRIEVAL,19,C,1
"Le,Linh",1188,1,ACCT,2010,12,ACCOUNT PRIN I,45,A,7
"Le,Linh",1188,1,ACCT,2010,12,ACCOUNT PRIN I,45,B,16
"Le,Linh",1188,1,ACCT,2010,12,ACCOUNT PRIN I,45,C,11
"Le,Linh",1188,1,ACCT,2010,12,ACCOUNT PRIN I,45,D,5
"Le,Linh",1188,1,ACCT,2010,12,ACCOUNT PRIN I,45,F,5
"Le,Linh",1188,1,ACCT,2010,12,ACCOUNT PRIN I,45,W,1
"Lee,Won",1188,1,MUAC,1508,707,FLUTE,7,A,56
"Lee,Won",1188,1,MUEN,2625,500,WIND ENSEMBLES,14,A,13
"Lee,Won",1188,1,MUEN,2625,500,WIND ENSEMBLES,14,W,1
"Lin,Lin",1188,8W1,LTEC,5040,80,ONLINE INSTRUCTION,16,A,16
"Lin,Lin",1188,8W1,LTEC,5200,80,NEW TECH OF INSTRU,22,A,21
"Lin,Lin",1188,8W1,LTEC,5200,80,NEW TECH OF INSTRU,22,D,1
"Shen,Qi",1188,1,MUCP,2080,701,SECONDARY COMP I,5,A,24
